uniprot_acc	mlo	rol	db
P27694	PML nuclear body	unassigned	phasepdb_uniprot
P29375	Nucleolus	unassigned	phasepdb_uniprot
P33076	PML nuclear body	unassigned	phasepdb_uniprot
P36873	Nucleolus	unassigned	phasepdb_uniprot
P38919	Nuclear speckle	unassigned	phasepdb_uniprot
P39748	Nucleolus	unassigned	phasepdb_uniprot
P41220	Nucleolus	unassigned	phasepdb_uniprot
P42285	Nucleolus	unassigned	phasepdb_uniprot
P46783	Nucleolus	unassigned	phasepdb_uniprot
P48729	Nuclear speckle	unassigned	phasepdb_uniprot
P49715	Nucleolus	unassigned	phasepdb_uniprot
P49792	Nuclear pore complex	unassigned	phasepdb_uniprot
P50222	Nuclear speckle	unassigned	phasepdb_uniprot
P51816	Nuclear speckle	unassigned	phasepdb_uniprot
P51955	Nucleolus	unassigned	phasepdb_uniprot
P52824	Nuclear speckle	unassigned	phasepdb_uniprot
P55199	Nuclear speckle	unassigned	phasepdb_uniprot
P55265	Nucleolus	unassigned	phasepdb_uniprot
P55735	Nuclear pore complex	unassigned	phasepdb_uniprot
P55769	Nucleolus	unassigned	phasepdb_uniprot
P57052	Nuclear speckle	unassigned	phasepdb_uniprot
P57740	Nuclear pore complex	unassigned	phasepdb_uniprot
P60484	PML nuclear body	unassigned	phasepdb_uniprot
P61011	Nuclear speckle	unassigned	phasepdb_uniprot
P61236	Nucleolus	unassigned	phasepdb_uniprot
P62140	Nucleolus	unassigned	phasepdb_uniprot
P62913	Nucleolus	unassigned	phasepdb_uniprot
P84103	Nuclear speckle	unassigned	phasepdb_uniprot
Q00839	Nuclear speckle	unassigned	phasepdb_uniprot
Q00839	Spindle pole	unassigned	phasepdb_uniprot
Q01081	Nuclear speckle	unassigned	phasepdb_uniprot
Q02040	Nuclear speckle	unassigned	phasepdb_uniprot
Q05066	Nuclear speckle	unassigned	phasepdb_uniprot
Q06265	Nucleolus	unassigned	phasepdb_uniprot
Q06787	Cajal body	unassigned	phasepdb_uniprot
Q06787	Stress granule	unassigned	phasepdb_uniprot
Q06787	Cytoplasmic ribonucleoprotein granule	unassigned	phasepdb_uniprot
Q07021		unassigned	phasepdb_uniprot
Q07955	Nuclear speckle	unassigned	phasepdb_uniprot
Q08170	Nuclear speckle	unassigned	phasepdb_uniprot
Q08752	Nucleolus	unassigned	phasepdb_uniprot
Q0WX57	Nucleolus	unassigned	phasepdb_uniprot
Q12769	Nuclear pore complex	unassigned	phasepdb_uniprot
Q12837	Nuclear speckle	unassigned	phasepdb_uniprot
Q12906	Nucleolus	unassigned	phasepdb_uniprot
Q13247	Nuclear speckle	unassigned	phasepdb_uniprot
Q13342	Nuclear body	unassigned	phasepdb_uniprot
Q13427	Nuclear speckle	unassigned	phasepdb_uniprot
Q13435	Nuclear speckle	unassigned	phasepdb_uniprot
Q13501	PML nuclear body	unassigned	phasepdb_uniprot
Q13526	Nuclear speckle	unassigned	phasepdb_uniprot
Q13610	Nucleolus	unassigned	phasepdb_uniprot
Q13627	Nuclear speckle	unassigned	phasepdb_uniprot
Q13823	Nucleolus	unassigned	phasepdb_uniprot
Q13895	Nucleolus	unassigned	phasepdb_uniprot
Q13901	Nucleolus	unassigned	phasepdb_uniprot
Q14004	Nuclear speckle	unassigned	phasepdb_uniprot
Q14149	PML nuclear body	unassigned	phasepdb_uniprot
Q14164	PML nuclear body	unassigned	phasepdb_uniprot
Q14331	Cajal body	unassigned	phasepdb_uniprot
Q14331	Nucleolus	unassigned	phasepdb_uniprot
Q14671	Stress granule	unassigned	phasepdb_uniprot
Q14684	Nucleolus	unassigned	phasepdb_uniprot
Q14764	Nuclear pore complex	unassigned	phasepdb_uniprot
Q14966	Nuclear speckle	unassigned	phasepdb_uniprot
Q15007	Nuclear speckle	unassigned	phasepdb_uniprot
Q15020	Nuclear speckle	unassigned	phasepdb_uniprot
Q15024	Nucleolus	unassigned	phasepdb_uniprot
Q15061	Nucleolus	unassigned	phasepdb_uniprot
Q15397	Nucleolus	unassigned	phasepdb_uniprot
